http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,Access To Services,Education Skills And Training,Employment,Health,Housing,Income,SIMD
http://statistics.gov.scot/id/statistical-geography/S01003395,S01003395,6002,1725,1927,1997,438,1875,1867
http://statistics.gov.scot/id/statistical-geography/S01003396,S01003396,5958,172,222,211,190,164,161
http://statistics.gov.scot/id/statistical-geography/S01003397,S01003397,2373,42,128,408,118,9,47
http://statistics.gov.scot/id/statistical-geography/S01003398,S01003398,4163,574,1010,367,334,535,570
http://statistics.gov.scot/id/statistical-geography/S01003399,S01003399,1059,761,4729,2162,406,3241,2287
http://statistics.gov.scot/id/statistical-geography/S01003400,S01003400,6091,765,451,638,1268,754,626
http://statistics.gov.scot/id/statistical-geography/S01003401,S01003401,2656,192,269,103,69,24,80
http://statistics.gov.scot/id/statistical-geography/S01003402,S01003402,3846,119,139,226,111,49,79
http://statistics.gov.scot/id/statistical-geography/S01003403,S01003403,5053,155,322,1339,217,977,496
http://statistics.gov.scot/id/statistical-geography/S01003404,S01003404,4761,93,176,265,1,158,120
http://statistics.gov.scot/id/statistical-geography/S01003405,S01003405,1884,571,683,422,253,1186,598
http://statistics.gov.scot/id/statistical-geography/S01003406,S01003406,6415,770,1381,1004,264,1081,1049
http://statistics.gov.scot/id/statistical-geography/S01003407,S01003407,6077,590,797,530,1410,1292,863
http://statistics.gov.scot/id/statistical-geography/S01003408,S01003408,3233,375,944,558,468,156,371
http://statistics.gov.scot/id/statistical-geography/S01003409,S01003409,5950,2453,1142,543,268,799,974
http://statistics.gov.scot/id/statistical-geography/S01003410,S01003410,5066,591,2319,1294,207,2019,1530
http://statistics.gov.scot/id/statistical-geography/S01003411,S01003411,5478,329,701,164,591,459,406
http://statistics.gov.scot/id/statistical-geography/S01003412,S01003412,5708,293,381,689,420,345,362
http://statistics.gov.scot/id/statistical-geography/S01003413,S01003413,3401,250,734,1041,593,392,491
http://statistics.gov.scot/id/statistical-geography/S01003414,S01003414,2756,147,416,579,80,307,255
http://statistics.gov.scot/id/statistical-geography/S01003415,S01003415,689,283,1956,630,116,1621,805
http://statistics.gov.scot/id/statistical-geography/S01003416,S01003416,1642,185,61,201,476,491,150
http://statistics.gov.scot/id/statistical-geography/S01003417,S01003417,6323,1386,2046,1828,199,1834,1728
http://statistics.gov.scot/id/statistical-geography/S01003418,S01003418,4626,165,119,74,157,181,108
http://statistics.gov.scot/id/statistical-geography/S01003419,S01003419,2869,149,129,141,161,52,65
http://statistics.gov.scot/id/statistical-geography/S01003420,S01003420,5681,40,103,22,83,37,28
http://statistics.gov.scot/id/statistical-geography/S01003421,S01003421,4911,1381,179,321,516,354,324
http://statistics.gov.scot/id/statistical-geography/S01003422,S01003422,6067,479,183,206,206,447,261
http://statistics.gov.scot/id/statistical-geography/S01003423,S01003423,4293,1458,4642,2853,339,4113,3345
http://statistics.gov.scot/id/statistical-geography/S01003424,S01003424,5813,339,529,215,44,572,373
http://statistics.gov.scot/id/statistical-geography/S01003425,S01003425,4085,507,3096,3448,188,2339,1979
http://statistics.gov.scot/id/statistical-geography/S01003426,S01003426,6104,1556,1196,848,259,1267,1151
http://statistics.gov.scot/id/statistical-geography/S01003427,S01003427,5013,1227,212,694,1027,718,529
http://statistics.gov.scot/id/statistical-geography/S01003428,S01003428,3748,62,35,9,260,21,6
http://statistics.gov.scot/id/statistical-geography/S01003429,S01003429,4766,595,6054,5115,156,4311,3491
http://statistics.gov.scot/id/statistical-geography/S01003430,S01003430,3734,1425,2881,1831,201,2464,2067
http://statistics.gov.scot/id/statistical-geography/S01003431,S01003431,6341,255,378,381,246,621,382
http://statistics.gov.scot/id/statistical-geography/S01003432,S01003432,5598,913,4289,3588,350,3301,2977
http://statistics.gov.scot/id/statistical-geography/S01003433,S01003433,5526,1969,5049,2680,121,4003,3488
http://statistics.gov.scot/id/statistical-geography/S01003434,S01003434,4023,92,132,176,17,236,116
http://statistics.gov.scot/id/statistical-geography/S01003435,S01003435,4750,25,156,87,92,38,48
http://statistics.gov.scot/id/statistical-geography/S01003436,S01003436,1756,2584,2855,1450,704,3285,2394
